kelurahan,kecamatan,kabupaten,provinsi,kodepos
'TAMON JAYA','SALANG','SIMEULUE','ACEH','23893'
'UJUNG SALANG','SALANG','SIMEULUE','ACEH','23893'
'AMABAAN','SIMEULUE BARAT','SIMEULUE','ACEH','23892'
'BABUL MAKMUR','SIMEULUE BARAT','SIMEULUE','ACEH','23892'
'BATU RAGI','SIMEULUE BARAT','SIMEULUE','ACEH','23892'
'LAMAMEK','SIMEULUE BARAT','SIMEULUE','ACEH','23892'
'LAYABAUNG','SIMEULUE BARAT','SIMEULUE','ACEH','23892'
'LHOK BIKHAO','SIMEULUE BARAT','SIMEULUE','ACEH','23892'
'LHOK MAKMUR','SIMEULUE BARAT','SIMEULUE','ACEH','23892'
'MALASIN','SIMEULUE BARAT','SIMEULUE','ACEH','23892'
'MITEUM','SIMEULUE BARAT','SIMEULUE','ACEH','23892'
'SANGGIRAN','SIMEULUE BARAT','SIMEULUE','ACEH','23892'
'SEMBILAN','SIMEULUE BARAT','SIMEULUE','ACEH','23892'
'SIGULAI','SIMEULUE BARAT','SIMEULUE','ACEH','23892'
'SINAR BAHAGIA','SIMEULUE BARAT','SIMEULUE','ACEH','23892'
'UJUNG HARAPAN','SIMEULUE BARAT','SIMEULUE','ACEH','23892'
'LAFAKHA','ALAFAN','SIMEULUE','ACEH','23898'
'LAMEREM','ALAFAN','SIMEULUE','ACEH','23898'
'LANGI','ALAFAN','SIMEULUE','ACEH','23898'
'LEWAK','ALAFAN','SIMEULUE','ACEH','23898'
'LHOK DALAM','ALAFAN','SIMEULUE','ACEH','23898'
'LHOK PAUH','ALAFAN','SIMEULUE','ACEH','23898'
'LUBUK BAIK','ALAFAN','SIMEULUE','ACEH','23898'
'SERAFON','ALAFAN','SIMEULUE','ACEH','23898'
'PULAU BAGUK','PULAU BANYAK','ACEH SINGKIL','ACEH','24791'
'PULAU BALAI','PULAU BANYAK','ACEH SINGKIL','ACEH','24791'
'TELUK NIBUNG','PULAU BANYAK','ACEH SINGKIL','ACEH','24791'
'ASANTOLA','PULAU BANYAK BARAT','ACEH SINGKIL','ACEH','24792'
'HALOBAN','PULAU BANYAK BARAT','ACEH SINGKIL','ACEH','24792'
'SUKA MAKMUR','PULAU BANYAK BARAT','ACEH SINGKIL','ACEH','24792'
'UJUNG SIALIT','PULAU BANYAK BARAT','ACEH SINGKIL','ACEH','24792'
'KILANGAN','SINGKIL','ACEH SINGKIL','ACEH','24785'
'KOTA SIMBOLING','SINGKIL','ACEH SINGKIL','ACEH','24785'
'PASAR SINGKIL','SINGKIL','ACEH SINGKIL','ACEH','24785'
'PEA BUMBUNG','SINGKIL','ACEH SINGKIL','ACEH','24785'
'PEMUKA','SINGKIL','ACEH SINGKIL','ACEH','24785'
'PULO SAROK','SINGKIL','ACEH SINGKIL','ACEH','24785'
'RANTAU GEDANG','SINGKIL','ACEH SINGKIL','ACEH','24785'
'SELOK ACEH','SINGKIL','ACEH SINGKIL','ACEH','24785'
'SITI AMBIA','SINGKIL','ACEH SINGKIL','ACEH','24785'
'SUKA DAMAI','SINGKIL','ACEH SINGKIL','ACEH','24785'
'SUKA MAKMUR','SINGKIL','ACEH SINGKIL','ACEH','24784'
'SUKA MAKMUR','SINGKIL','ACEH SINGKIL','ACEH','24785'
'TAKAL PASIR','SINGKIL','ACEH SINGKIL','ACEH','24785'
'TELUK AMBUN','SINGKIL','ACEH SINGKIL','ACEH','24785'
'TELUK RUMBIA','SINGKIL','ACEH SINGKIL','ACEH','24785'
'UJUNG BAWANG','SINGKIL','ACEH SINGKIL','ACEH','24785'
'GOSONG TELAGA BARAT','SINGKIL UTARA','ACEH SINGKIL','ACEH','24787'
'GOSONG TELAGA TIMUR','SINGKIL UTARA','ACEH SINGKIL','ACEH','24787'
'GOSONG TELAGA UTARA','SINGKIL UTARA','ACEH SINGKIL','ACEH','24787'
'KAMPUNG BARU','SINGKIL UTARA','ACEH SINGKIL','ACEH','24787'
'KETAPANG INDAH','SINGKIL UTARA','ACEH SINGKIL','ACEH','24787'
'TELAGA BAKTI','SINGKIL UTARA','ACEH SINGKIL','ACEH','24787'
'KAYU MENANG','KUALA BARU','ACEH SINGKIL','ACEH','24788'
'KUALA BARU LAUT','KUALA BARU','ACEH SINGKIL','ACEH','24788'
'KUALA BARU SUNGAI','KUALA BARU','ACEH SINGKIL','ACEH','24788'
'SUKA JAYA','KUALA BARU','ACEH SINGKIL','ACEH','24788'
'CIBUBUKAN','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'GUHA','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'KAIN GOLONG','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'KUTA BATU','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'KUTA KERANGAN','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'KUTA TINGGI','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'LAE GAMBIR','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'LAE GECIH','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
'LAE NIPE','SIMPANG KANAN','ACEH SINGKIL','ACEH','24783'
